                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 0.7226,                0.65443,                 0.9768,                0.81121,                0.76813,                0.83501,                0.66955,                0.80038,                 0.7013,                 1.0503,               0.008152,               0.008152,               0.008152
                     58,                0.71745,                0.65315,                 0.9712,                0.84172,                0.76815,                0.83995,                0.67455,                 0.8001,                0.69368,                  1.043,               0.008119,               0.008119,               0.008119
                     59,                0.71954,                0.64628,                0.97167,                0.79742,                0.78941,                0.84202,                0.67215,                0.80244,                 0.6728,                  1.051,               0.008086,               0.008086,               0.008086
                     60,                0.71832,                0.64512,                0.97578,                0.83967,                0.75464,                0.84218,                0.67473,                0.79195,                0.68121,                  1.047,               0.008053,               0.008053,               0.008053
                     61,                0.70567,                0.64511,                0.97106,                0.80576,                0.76455,                0.83311,                0.66722,                0.79634,                0.73031,                  1.046,                0.00802,                0.00802,                0.00802
                     62,                0.70615,                0.63077,                0.97204,                0.79701,                0.77619,                0.84158,                0.68197,                0.79705,                0.70272,                 1.0507,               0.007987,               0.007987,               0.007987
                     63,                 0.7084,                0.62846,                0.97265,                 0.8431,                0.74702,                0.83633,                0.67227,                0.78758,                0.69258,                 1.0416,               0.007954,               0.007954,               0.007954
                     64,                0.70406,                 0.6335,                0.96933,                0.78704,                0.78251,                0.82817,                0.67017,                0.78199,                0.71702,                   1.04,               0.007921,               0.007921,               0.007921
                     65,                0.70768,                0.62996,                 0.9689,                0.84114,                0.72605,                 0.8248,                0.66708,                0.79454,                0.70384,                 1.0431,               0.007888,               0.007888,               0.007888
                     66,                0.69948,                0.62108,                0.96671,                0.79019,                0.76841,                0.82963,                0.67236,                0.78774,                0.71096,                 1.0416,               0.007855,               0.007855,               0.007855
                     67,                0.69632,                0.62362,                0.96632,                0.81819,                0.77795,                0.83445,                0.66747,                0.78664,                0.67348,                 1.0367,               0.007822,               0.007822,               0.007822
                     68,                0.69222,                0.61223,                0.96415,                0.79781,                0.79773,                0.83741,                0.67209,                0.78942,                0.66412,                 1.0493,               0.007789,               0.007789,               0.007789
                     69,                0.70427,                 0.6144,                 0.9639,                0.81979,                0.77027,                0.83712,                0.67549,                0.78791,                0.67594,                 1.0407,               0.007756,               0.007756,               0.007756
                     70,                0.68579,                0.61165,                0.95855,                0.81854,                0.76497,                0.83396,                0.67187,                0.78813,                0.72267,                 1.0402,               0.007723,               0.007723,               0.007723
                     71,                0.69259,                0.61246,                0.96546,                0.82529,                0.75361,                0.82681,                0.66848,                0.78211,                0.72708,                 1.0419,                0.00769,                0.00769,                0.00769
                     72,                0.69558,                0.62224,                0.96212,                0.82108,                0.76271,                0.83903,                0.67865,                0.78679,                0.68824,                 1.0358,               0.007657,               0.007657,               0.007657
                     73,                 0.6945,                0.61325,                0.95994,                0.83962,                0.75193,                0.83941,                0.67466,                0.79935,                0.69248,                 1.0543,               0.007624,               0.007624,               0.007624
                     74,                0.68759,                0.60459,                0.95816,                0.81422,                0.77765,                 0.8389,                0.67766,                0.79871,                0.69972,                 1.0452,               0.007591,               0.007591,               0.007591
