                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.68439,                0.75322,                0.96199,                 0.8162,                0.32613,                0.42948,                0.36352,                0.79334,                 1.1583,                 1.0449,               0.004654,               0.004654,               0.004654
                     56,                0.66527,                0.74465,                0.95284,                0.63612,                0.38104,                0.44697,                0.37689,                0.79303,                 1.1415,                 1.0479,               0.004555,               0.004555,               0.004555
                     57,                0.67112,                0.71833,                0.95557,                0.70656,                0.37109,                0.43999,                0.37016,                0.79535,                 1.1597,                 1.0536,               0.004456,               0.004456,               0.004456
                     58,                0.66432,                0.71456,                0.95497,                0.66858,                0.40198,                0.43545,                0.36705,                0.79048,                 1.1464,                 1.0505,               0.004357,               0.004357,               0.004357
                     59,                0.66057,                0.71375,                0.95123,                0.68072,                0.38417,                0.45358,                 0.3797,                0.78869,                 1.1408,                 1.0477,               0.004258,               0.004258,               0.004258
                     60,                 0.6631,                0.72854,                0.95111,                0.64922,                0.41099,                0.45507,                0.38309,                 0.7879,                 1.1359,                 1.0429,               0.004159,               0.004159,               0.004159
                     61,                 0.6607,                0.69074,                0.94594,                0.64536,                0.39259,                0.44706,                0.37541,                0.77683,                 1.1316,                 1.0397,                0.00406,                0.00406,                0.00406
                     62,                0.64888,                0.68664,                0.94465,                0.74547,                0.38113,                0.44663,                0.37544,                0.77942,                 1.1533,                 1.0454,               0.003961,               0.003961,               0.003961
                     63,                0.64624,                0.67231,                0.94277,                0.68945,                0.39518,                0.44211,                0.37413,                0.78513,                 1.1026,                 1.0443,               0.003862,               0.003862,               0.003862
                     64,                0.64562,                0.67179,                 0.9443,                0.69771,                0.38293,                0.45736,                0.38536,                0.79263,                 1.1555,                 1.0546,               0.003763,               0.003763,               0.003763
                     65,                0.64935,                0.66309,                0.94542,                0.62635,                0.40262,                0.44289,                0.37405,                0.78434,                 1.1375,                 1.0459,               0.003664,               0.003664,               0.003664
                     66,                0.64286,                0.64831,                0.94097,                0.60821,                0.41799,                0.45741,                0.38785,                0.77311,                 1.1312,                 1.0383,               0.003565,               0.003565,               0.003565
                     67,                0.64156,                 0.6522,                0.93845,                0.68418,                0.39839,                0.44661,                0.37951,                0.78195,                 1.1579,                 1.0481,               0.003466,               0.003466,               0.003466
                     68,                0.64094,                0.64493,                0.93926,                0.61433,                0.41245,                0.45425,                0.38452,                0.78187,                 1.1497,                 1.0493,               0.003367,               0.003367,               0.003367
                     69,                0.62389,                0.62546,                0.93352,                0.75761,                0.36226,                0.45557,                0.38957,                0.78331,                 1.1629,                 1.0504,               0.003268,               0.003268,               0.003268
